"","...1","Year","Country","Winner","Runners-Up","Third","Fourth","GoalsScored","QualifiedTeams","MatchesPlayed","Attendance"
"1",1,1930,"Uruguay","Uruguay","Argentina","USA","Yugoslavia",70,13,18,"590.549"
"2",2,1934,"Italy","Italy","Czechoslovakia","Germany","Austria",70,16,17,"363.000"
"3",3,1938,"France","Italy","Hungary","Brazil","Sweden",84,15,18,"375.700"
"4",4,1950,"Brazil","Uruguay","Brazil","Sweden","Spain",88,13,22,"1.045.246"
"5",5,1954,"Switzerland","Germany","Hungary","Austria","Uruguay",140,16,26,"768.607"
"6",6,1958,"Sweden","Brazil","Sweden","France","Germany",126,16,35,"819.810"
"7",7,1962,"Chile","Brazil","Czechoslovakia","Chile","Yugoslavia",89,16,32,"893.172"
"8",8,1966,"England","England","Germany","Portugal","Soviet Union",89,16,32,"1.563.135"
"9",9,1970,"Mexico","Brazil","Italy","Germany","Uruguay",95,16,32,"1.603.975"
"10",10,1974,"Germany","Germany","Netherlands","Poland","Brazil",97,16,38,"1.865.753"
"11",11,1978,"Argentina","Argentina","Netherlands","Brazil","Italy",102,16,38,"1.545.791"
"12",12,1982,"Spain","Italy","Germany","Poland","France",146,24,52,"2.109.723"
"13",13,1986,"Mexico","Argentina","Germany","France","Belgium",132,24,52,"2.394.031"
"14",14,1990,"Italy","Germany","Argentina","Italy","England",115,24,52,"2.516.215"
"15",15,1994,"USA","Brazil","Italy","Sweden","Bulgaria",141,24,52,"3.587.538"
"16",16,1998,"France","France","Brazil","Croatia","Netherlands",171,32,64,"2.785.100"
"17",17,2002,"Korea/Japan","Brazil","Germany","Turkey","Korea Republic",161,32,64,"2.705.197"
"18",18,2006,"Germany","Italy","France","Germany","Portugal",147,32,64,"3.359.439"
"19",19,2010,"South Africa","Spain","Netherlands","Germany","Uruguay",145,32,64,"3.178.856"
"20",20,2014,"Brazil","Germany","Argentina","Netherlands","Brazil",171,32,64,"3.386.810"
